,metascore,userscore,year,mean_userscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling,name
1576,86.0,8.4,2013,7.62657372808278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hotline Miami
1577,74.5,7.6,2015,6.847307250249124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hotline Miami 2: Wrong Number
1578,82.0,8.3,2019,7.308272008597604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hotline Miami Collection
1579,53.0,6.4,2018,5.647437114380636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hover
1580,67.0,5.9,2016,6.455919965827083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,How We Soar
1581,58.0,6.333333333333333,2013,5.90013641295977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,How to Survive
1582,67.0,6.4,2017,6.455919965827083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,How to Survive 2
1583,65.0,6.3,2014,6.375791893818464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,How to Survive: Storm Warning Edition
1584,76.75,7.235294117647059,2016,6.981666420098686,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hue
1585,75.66666666666667,7.6000000000000005,2015,6.9301451304487385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human Resource Machine
1586,68.75,6.75,2016,6.555201135840656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human: Fall Flat
1587,55.0,5.3,2013,5.8284900284900285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Humans Must Answer
1588,81.0,7.5,2019,7.311510194404932,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Hunt: Showdown
1589,59.5,6.121522988505747,2016,6.025566835308215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hunter's Legacy
1590,44.0,4.1,2017,5.206666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Husk
1591,65.0,6.572043010752691,2017,6.375791893818464,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Hyakki Castle
1592,82.0,7.6499999999999995,2016,7.302594762947207,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Hyper Light Drifter
1593,68.0,7.2,2015,6.45159416985534,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,Hyperdevotion Noire: Goddess Black Heart
1594,54.0,6.1,2014,5.489818181818181,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyperdimension Neptunia PP: Producing Perfection
1595,69.0,7.6,2014,6.605925653294072,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Hyperdimension Neptunia Re;Birth1
1596,67.0,6.9,2015,6.455919965827083,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Hyperdimension Neptunia Re;Birth2: Sisters Generation
1597,70.0,7.2,2015,6.714134938538741,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Hyperdimension Neptunia Re;Birth3: V Generation
1598,71.0,7.0,2015,6.621082125603873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hyperdimension Neptunia U: Action Unleashed
1599,55.0,7.5,2013,5.8284900284900285,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Hyperdimension Neptunia Victory
1600,82.0,6.6,2019,7.308272008597604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hypnospace Outlaw
1601,76.0,8.3,2014,6.980890527393748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hyrule Warriors
1602,70.0,7.5,2016,6.714134938538741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hyrule Warriors Legends
1603,78.0,8.1,2018,7.042202473015331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hyrule Warriors: Definitive Edition
1604,56.666666666666664,4.566666666666666,2015,5.7394653240028255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I Am Bread
1605,73.0,7.400000000000001,2016,6.802916479678996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,I Am Setsuna
1606,82.0,7.7,2016,7.308272008597604,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,I Expect You To Die
1607,65.0,6.572043010752691,2018,6.375791893818464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I Hate Running Backwards
1608,60.0,6.7,2017,5.883031910618117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I and Me
1609,79.0,7.65,2017,7.046755766756467,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICEY
1610,74.0,6.0,2014,6.782739952153117,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,IL-2 Sturmovik: Battle of Stalingrad
1611,90.5,8.4,2016,8.083358390378095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INSIDE
1612,48.0,5.6,2015,5.225142857142856,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,IRONFALL Invasion
