,name,platform,metascore,userscore,year,mean_userscore
214,Ghost Giant,PS4,80,7.1,2019,7.234883720930233
215,Final Fantasy VIII Remastered,Switch,80,7.3,2019,7.234883720930233
216,Trine 4: The Nightmare Prince,PS4,80,6.9,2019,7.234883720930233
217,Phoenix Wright: Ace Attorney Trilogy,PS4,80,7.5,2019,7.234883720930233
218,Metro Exodus,PS4,80,6.8,2019,7.234883720930233
219,Ace Combat 7: Skies Unknown,PS4,80,8.3,2019,7.234883720930233
220,Dauntless,PS4,80,3.5,2019,7.234883720930233
221,Resident Evil,Switch,80,8.4,2019,7.234883720930233
222,Castlevania Anniversary Collection,XONE,80,7.0,2019,7.234883720930233
223,Yo-kai Watch 3,3DS,80,7.3,2019,7.234883720930233
224,Trine 4: The Nightmare Prince,Switch,80,8.3,2019,7.234883720930233
225,Valfaris,Switch,80,8.2,2019,7.234883720930233
226,"Bury Me, My Love",PC,80,3.8,2019,7.234883720930233
227,The Legend of Heroes: Trails of Cold Steel,PS4,80,8.7,2019,7.234883720930233
228,Yakuza Kiwami,PC,80,8.3,2019,7.234883720930233
229,Darkwood,XONE,80,7.4,2019,7.234883720930233
230,Octopath Traveler,PC,80,6.2,2019,7.234883720930233
231,Brothers: A Tale of Two Sons,Switch,80,7.8,2019,7.234883720930233
232,Kingdom Hearts III,XONE,80,8.3,2019,7.234883720930233
233,Borderlands: Game of the Year Edition,XONE,80,8.0,2019,7.234883720930233
234,Catherine Classic,PC,80,7.9,2019,7.234883720930233
235,Dicey Dungeons,PC,80,7.5,2019,7.234883720930233
236,Heave Ho,Switch,80,7.7,2019,7.234883720930233
237,AI: The Somnium Files,PS4,80,7.4,2019,7.234883720930233
238,Salt and Sanctuary,XONE,80,6.8,2019,7.234883720930233
239,Darkwood,PS4,80,7.4,2019,7.234883720930233
240,NBA 2K20,XONE,80,0.8,2019,7.234883720930233
241,Judgment,PS4,80,8.3,2019,7.234883720930233
242,Yooka-Laylee and the Impossible Lair,Switch,79,7.8,2019,6.605555555555556
243,Blazing Beaks,Switch,79,6.6,2019,6.605555555555556
244,Tangledeep,Switch,79,8.2,2019,6.605555555555556
245,Knights and Bikes,PS4,79,7.9,2019,6.605555555555556
246,Yoshi's Crafted World,Switch,79,8.0,2019,6.605555555555556
247,WRC 8 FIA World Rally Championship,PC,79,5.5,2019,6.605555555555556
248,Gravity Ghost: Deluxe Edition,PS4,79,3.0,2019,6.605555555555556
249,Kirby's Extra Epic Yarn,3DS,79,6.6,2019,6.605555555555556
250,Atelier Ryza: Ever Darkness & the Secret Hideout,PS4,79,8.0,2019,6.605555555555556
251,Octahedron: Transfixed Edition,Switch,79,8.0,2019,6.605555555555556
252,The Ninja Saviors: Return of the Warriors,Switch,79,7.7,2019,6.605555555555556
253,Hellblade: Senua's Sacrifice,Switch,79,6.8,2019,6.605555555555556
254,Ace Combat 7: Skies Unknown,XONE,79,7.9,2019,6.605555555555556
255,Knights And Bikes,PC,79,7.3,2019,6.605555555555556
256,Agent A: A Puzzle In Disguise,Switch,79,6.605555555555556,2019,6.605555555555556
257,Blazing Chrome,Switch,79,7.8,2019,6.605555555555556
258,Gato Roboto,PC,79,8.0,2019,6.605555555555556
259,Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,Switch,79,8.4,2019,6.605555555555556
260,Crystal Crisis,Switch,79,8.2,2019,6.605555555555556
261,Blazing Chrome,PC,79,7.0,2019,6.605555555555556
262,FIFA 20,XONE,79,0.9,2019,6.605555555555556
263,Mortal Kombat 11,Switch,79,3.4,2019,6.605555555555556
264,Madden NFL 20,XONE,79,2.1,2019,6.605555555555556
265,Life is Strange 2: Episode 2 - Rules,PC,79,5.0,2019,6.605555555555556
266,Trials Rising,PS4,79,6.5,2019,6.605555555555556
267,Ion Fury,PC,79,5.9,2019,6.605555555555556
268,Observation,PC,79,7.4,2019,6.605555555555556
269,Dauntless,PC,79,5.4,2019,6.605555555555556
270,Ace Combat 7: Skies Unknown,PC,79,7.0,2019,6.605555555555556
271,GreedFall,XONE,79,8.2,2019,6.605555555555556
272,FIFA 20,PS4,79,1.1,2019,6.605555555555556
273,GRID Autosport,Switch,79,8.4,2019,6.605555555555556
274,Untitled Goose Game,PC,79,5.7,2019,6.605555555555556
275,Spyro Reignited Trilogy,Switch,79,8.4,2019,6.605555555555556
276,Digimon Story Cyber Sleuth: Complete Edition,Switch,79,7.9,2019,6.605555555555556
277,Druidstone: The Secret of the Menhir Forest,PC,79,7.4,2019,6.605555555555556
278,God's Trigger,XONE,79,8.4,2019,6.605555555555556
279,Mechstermination Force,Switch,78,7.7,2019,6.8047619047619055
280,Yooka-Laylee and the Impossible Lair,PC,78,6.9,2019,6.8047619047619055
281,Disney Classic Games: Aladdin and the Lion King,PS4,78,3.8,2019,6.8047619047619055
282,Torchlight II,XONE,78,7.5,2019,6.8047619047619055
283,Descenders,PC,78,6.6,2019,6.8047619047619055
284,WRC 8 FIA World Rally Championship,PS4,78,5.8,2019,6.8047619047619055
285,Blasphemous,PS4,78,7.7,2019,6.8047619047619055
286,Borderlands 3,PS4,78,5.6,2019,6.8047619047619055
287,River City Girls,PS4,78,6.2,2019,6.8047619047619055
288,World End Syndrome,Switch,78,7.6,2019,6.8047619047619055
289,Children of Morta,PS4,78,7.7,2019,6.8047619047619055
290,Angry Birds VR: Isle of Pigs,PC,78,5.2,2019,6.8047619047619055
291,Remnant: From the Ashes,PC,78,6.8,2019,6.8047619047619055
292,Golf Peaks,Switch,78,7.8,2019,6.8047619047619055
293,The Surge 2,XONE,78,6.6,2019,6.8047619047619055
294,Atelier Lulua: The Scion of Arland,Switch,78,7.9,2019,6.8047619047619055
295,We. The Revolution,Switch,78,7.8,2019,6.8047619047619055
296,Yonder: The Cloud Catcher Chronicles,XONE,78,6.8047619047619055,2019,6.8047619047619055
297,GRID,XONE,78,4.9,2019,6.8047619047619055
298,Forager,Switch,78,8.1,2019,6.8047619047619055
299,Indivisible,PS4,78,6.8,2019,6.8047619047619055
300,Life is Strange 2: Episode 3 - Wastelands,PC,78,6.4,2019,6.8047619047619055
301,Dragon's Dogma: Dark Arisen,Switch,78,8.3,2019,6.8047619047619055
302,Atelier Lulua: The Scion of Arland,PS4,78,6.7,2019,6.8047619047619055
303,My Friend Pedro,Switch,78,7.9,2019,6.8047619047619055
304,Plants vs. Zombies: Battle for Neighborville,PS4,78,5.4,2019,6.8047619047619055
305,Tropico 6,PC,78,6.6,2019,6.8047619047619055
306,Blasphemous,PC,78,8.0,2019,6.8047619047619055
307,Never Give Up,Switch,78,7.9,2019,6.8047619047619055
308,Shakedown Hawaii,PS4,78,5.2,2019,6.8047619047619055
309,The Textorcist: The Story of Ray Bibbia,PC,78,7.0,2019,6.8047619047619055
310,The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys,PS4,78,6.9,2019,6.8047619047619055
311,The Sojourn,PC,78,7.2,2019,6.8047619047619055
312,River City Girls,Switch,78,7.0,2019,6.8047619047619055
313,Forager,PC,78,8.4,2019,6.8047619047619055
314,Trials Rising,Switch,78,7.9,2019,6.8047619047619055
315,Samurai Shodown,XONE,78,7.7,2019,6.8047619047619055
316,Creature in the Well,XONE,78,4.9,2019,6.8047619047619055
317,My Memory of Us,Switch,78,8.1,2019,6.8047619047619055
318,Eastshade,PC,78,8.2,2019,6.8047619047619055
319,The Legend of Heroes: Trails of Cold Steel II,PS4,78,8.4,2019,6.8047619047619055
320,A Fisherman's Tale,PC,78,6.0,2019,6.8047619047619055
321,NBA 2K20,PS4,78,0.7,2019,6.8047619047619055
322,Vacation Simulator,PC,77,7.4,2019,6.784375000000002
323,Puzzle Quest: The Legend Returns,Switch,77,7.8,2019,6.784375000000002
324,Rebel Galaxy Outlaw,PC,77,5.8,2019,6.784375000000002
325,Pawarumi,Switch,77,7.7,2019,6.784375000000002
326,Battlefleet Gothic: Armada 2,PC,77,7.5,2019,6.784375000000002
327,Life is Strange 2: Episode 4 - Faith,PS4,77,5.1,2019,6.784375000000002
328,The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,PC,77,8.4,2019,6.784375000000002
329,Dandy Dungeon: Legend of Brave Yamada,Switch,77,8.1,2019,6.784375000000002
330,Destiny 2: Shadowkeep,PC,77,6.0,2019,6.784375000000002
331,They Are Billions,PC,77,6.1,2019,6.784375000000002
332,Super Cane Magic ZERO,PS4,77,5.6,2019,6.784375000000002
333,Afterparty,PC,77,7.1,2019,6.784375000000002
334,Plants vs. Zombies: Battle for Neighborville,PC,77,3.7,2019,6.784375000000002
335,Fight'N Rage,Switch,77,6.784375000000002,2019,6.784375000000002
336,Darksiders II: Deathinitive Edition,Switch,77,7.9,2019,6.784375000000002
337,Space Junkies,PC,77,6.0,2019,6.784375000000002
338,Whispers of a Machine,PC,77,7.2,2019,6.784375000000002
339,Stellaris: Console Edition,PS4,77,6.8,2019,6.784375000000002
340,Assetto Corsa Competizione,PC,77,6.7,2019,6.784375000000002
341,Green Hell,PC,77,7.5,2019,6.784375000000002
342,Age of Wonders: Planetfall,PS4,77,7.4,2019,6.784375000000002
343,The Surge 2,PC,77,6.3,2019,6.784375000000002
344,Unruly Heroes,XONE,77,6.8,2019,6.784375000000002
345,Assassin's Creed III Remastered,XONE,77,4.4,2019,6.784375000000002
346,We. The Revolution,PC,77,7.5,2019,6.784375000000002
347,Forza Horizon 4: LEGO Speed Champions,XONE,77,5.7,2019,6.784375000000002
348,NHL 20,PS4,77,4.3,2019,6.784375000000002
349,The Book of Unwritten Tales 2,Switch,77,8.0,2019,6.784375000000002
350,Tiny Metal: Full Metal Rumble,Switch,77,8.0,2019,6.784375000000002
351,Darksiders: Warmastered Edition,Switch,77,7.9,2019,6.784375000000002
352,Need for Speed Heat,XONE,77,7.4,2019,6.784375000000002
353,Disney Classic Games: Aladdin and the Lion King,Switch,77,7.2,2019,6.784375000000002
354,For the King,Switch,77,7.8,2019,6.784375000000002
355,Creature in the Well,Switch,76,7.5,2019,6.81111111111111
356,MotoGP 19,PS4,76,7.8,2019,6.81111111111111
357,Pode,PS4,76,4.3,2019,6.81111111111111
358,Pikuniku,Switch,76,7.7,2019,6.81111111111111
359,Hob: The Definitive Edition,Switch,76,7.7,2019,6.81111111111111
360,She Remembered Caterpillars,Switch,76,7.8,2019,6.81111111111111
361,Tropico 6,PS4,76,7.1,2019,6.81111111111111
362,WRC 8 FIA World Rally Championship,XONE,76,6.5,2019,6.81111111111111
363,Truberbrook,XONE,76,6.81111111111111,2019,6.81111111111111
364,Dead or Alive 6,XONE,76,5.7,2019,6.81111111111111
365,ToeJam & Earl: Back in the Groove,PC,76,6.8,2019,6.81111111111111
366,Trover Saves the Universe,PS4,76,7.9,2019,6.81111111111111
367,The Swords of Ditto: Mormo's Curse,Switch,76,7.5,2019,6.81111111111111
368,Remnant: From the Ashes,PS4,76,7.3,2019,6.81111111111111
369,Madden NFL 20,PS4,76,1.6,2019,6.81111111111111
370,Blasphemous,Switch,76,7.8,2019,6.81111111111111
371,Mutazione,PS4,76,6.8,2019,6.81111111111111
372,Final Fantasy IX,Switch,76,7.7,2019,6.81111111111111
373,Blazing Chrome,PS4,76,7.3,2019,6.81111111111111
374,Neo Cab,PC,76,5.7,2019,6.81111111111111
375,Imperator: Rome,PC,76,4.6,2019,6.81111111111111
376,Destiny 2: Shadowkeep,XONE,76,7.7,2019,6.81111111111111
377,Silence,Switch,76,7.8,2019,6.81111111111111
378,Borderlands: Game of the Year Edition,PS4,76,6.2,2019,6.81111111111111
379,Rad,XONE,76,6.0,2019,6.81111111111111
380,Feudal Alloy,PC,76,7.6,2019,6.81111111111111
381,New Super Lucky's Tale,Switch,76,7.9,2019,6.81111111111111
382,Beyond: Two Souls,PC,76,7.6,2019,6.81111111111111
383,Unruly Heroes,Switch,75,7.9,2019,6.688235294117646
384,Code Vein,XONE,75,8.0,2019,6.688235294117646
385,"Bury me, my Love",Switch,75,5.3,2019,6.688235294117646
386,Heaven's Vault,PC,75,5.5,2019,6.688235294117646
387,Field of Glory: Empires,PC,75,7.7,2019,6.688235294117646
388,Unruly Heroes,PS4,75,6.9,2019,6.688235294117646
389,The Surge 2,PS4,75,6.9,2019,6.688235294117646
390,Rock of Ages 2: Bigger & Boulder,Switch,75,7.8,2019,6.688235294117646
391,The Dark Pictures - Man of Medan,PC,75,6.1,2019,6.688235294117646
392,Observer,Switch,75,7.6,2019,6.688235294117646
393,Void Bastards,XONE,75,8.3,2019,6.688235294117646
394,Defector,PC,75,4.5,2019,6.688235294117646
395,God's Trigger,PC,75,8.7,2019,6.688235294117646
396,Life is Strange 2: Episode 3 - Wastelands,PS4,75,5.4,2019,6.688235294117646
397,Etherborn,PS4,75,7.7,2019,6.688235294117646
398,Concrete Genie,PS4,75,8.4,2019,6.688235294117646
399,Far Cry New Dawn,XONE,75,3.5,2019,6.688235294117646
400,Plants vs. Zombies: Battle for Neighborville,XONE,75,4.5,2019,6.688235294117646
401,Headliner: NoviNews,Switch,75,6.688235294117646,2019,6.688235294117646
402,Fantasy Strike,Switch,75,7.8,2019,6.688235294117646
403,MotoGP 19,XONE,75,8.1,2019,6.688235294117646
404,X-Morph: Defense,Switch,75,7.6,2019,6.688235294117646
405,City of Brass,Switch,75,7.1,2019,6.688235294117646
406,Fate/Extella Link,PS4,75,6.7,2019,6.688235294117646
407,Dragon Star Varnir,PS4,75,6.8,2019,6.688235294117646
408,ToeJam & Earl: Back in the Groove,Switch,75,6.0,2019,6.688235294117646
409,Heavy Rain,PC,75,6.9,2019,6.688235294117646
410,The Ninja Saviors: Return of the Warriors,PS4,75,5.1,2019,6.688235294117646
411,My Time At Portia,PS4,75,4.7,2019,6.688235294117646
412,Neo Cab,Switch,75,6.8,2019,6.688235294117646
413,The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,PS4,75,6.9,2019,6.688235294117646
414,The Alliance Alive HD Remastered,Switch,75,7.6,2019,6.688235294117646
415,Observation,PS4,75,6.5,2019,6.688235294117646
416,Shakedown Hawaii,Switch,75,7.1,2019,6.688235294117646
417,Attack on Titan 2: Final Battle,PS4,75,5.0,2019,6.688235294117646
418,Doraemon: Story of Seasons,Switch,74,7.5,2019,6.415625
