,name,year_x,metascore,userscore,openscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling
2533,Tannenberg,2019,69.0,8.7,73,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2534,Marvel Ultimate Alliance 3: The Black Order,2019,73.0,7.2,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2535,Need for Speed Heat,2019,75.0,6.95,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2536,Cricket 19,2019,73.0,8.4,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2537,The Liar Princess and the Blind Prince,2019,70.5,7.0,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2538,God Eater 3,2019,72.0,7.199999999999998,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2539,Super Cane Magic ZERO,2019,68.5,6.15,72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2540,Moons of Madness,2019,71.0,6.9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2541,Exception,2019,71.0,6.566666666666667,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2542,198X,2019,68.0,5.35,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2543,Feudal Alloy,2019,76.0,7.6,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2544,A Fisherman's Tale,2019,74.0,5.45,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2545,Overland,2019,69.0,7.1,72,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2546,Saints Row: The Third - The Full Package,2019,70.0,5.8,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2547,The Sojourn,2019,74.0,6.933333333333334,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2548,Days Gone,2019,71.0,8.0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2549,Dark Devotion,2019,72.0,7.3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
